frame_idx,time_s,speaking,image,duration_s
194,7.76,1,frames_small/anim_Luca_mouth_open.png,0.04
195,7.8,1,frames_small/anim_Luca_mouth_closed.png,0.04
196,7.84,1,frames_small/anim_Luca_mouth_closed.png,0.04
197,7.88,1,frames_small/anim_Luca_mouth_closed.png,0.04
198,7.92,1,frames_small/anim_Luca_mouth_open.png,0.04
199,7.96,0,frames_small/anim_Luca_blink.png,0.04
200,8.0,0,frames_small/anim_Luca_blink.png,0.04
201,8.04,0,frames_small/anim_Luca_mouth_closed.png,0.04
202,8.08,0,frames_small/anim_Luca_mouth_closed.png,0.04
203,8.12,0,frames_small/anim_Luca_mouth_closed.png,0.04
204,8.16,0,frames_small/anim_Luca_mouth_closed.png,0.04
205,8.2,0,frames_small/anim_Luca_mouth_closed.png,0.04
206,8.24,0,frames_small/anim_Luca_mouth_closed.png,0.04
207,8.28,0,frames_small/anim_Luca_mouth_closed.png,0.04
208,8.32,0,frames_small/anim_Luca_mouth_closed.png,0.04
209,8.36,0,frames_small/anim_Luca_mouth_closed.png,0.04
210,8.4,0,frames_small/anim_Luca_mouth_closed.png,0.04
211,8.44,0,frames_small/anim_Luca_mouth_closed.png,0.04
212,8.48,0,frames_small/anim_Luca_mouth_closed.png,0.04
213,8.52,0,frames_small/anim_Luca_mouth_closed.png,0.04
214,8.56,0,frames_small/anim_Luca_mouth_closed.png,0.04
215,8.6,0,frames_small/anim_Luca_mouth_closed.png,0.04
216,8.64,0,frames_small/anim_Luca_mouth_closed.png,0.04
217,8.68,0,frames_small/anim_Luca_mouth_closed.png,0.04
218,8.72,0,frames_small/anim_Luca_mouth_closed.png,0.04
219,8.76,0,frames_small/anim_Luca_mouth_closed.png,0.04
220,8.8,0,frames_small/anim_Luca_mouth_closed.png,0.04
221,8.84,0,frames_small/anim_Luca_mouth_closed.png,0.04
222,8.88,0,frames_small/anim_Luca_mouth_closed.png,0.04
223,8.92,0,frames_small/anim_Luca_mouth_closed.png,0.04
224,8.96,0,frames_small/anim_Luca_mouth_closed.png,0.04
225,9.0,1,frames_small/anim_Luca_mouth_open.png,0.04
226,9.04,1,frames_small/anim_Luca_mouth_open.png,0.04
227,9.08,1,frames_small/anim_Luca_mouth_closed.png,0.04
228,9.12,1,frames_small/anim_Luca_mouth_closed.png,0.04
229,9.16,1,frames_small/anim_Luca_mouth_open.png,0.04
230,9.2,1,frames_small/anim_Luca_mouth_closed.png,0.04
231,9.24,1,frames_small/anim_Luca_mouth_closed.png,0.04
232,9.28,1,frames_small/anim_Luca_mouth_closed.png,0.04
